v3_id,v4_id,category,trait,tissue,p_adjusted,coef,freq,V2,chromosome_name,start_position,end_position,description,kegg_enzyme,name_1006,definition_1006
AC148152.3_FG001,Zm00001d007725,Metabolite,X.5321342..beta.sitosterol..28.848,GRoot,0.00112789402334538,0.000319603444237845,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,other,NIRProtein,GRoot,0.000371389497257013,0.136961892740496,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,Metabolite,X.8742..shikimic.acid..16.433..s100,GRoot,0.0337704621666996,-0.00165133878696218,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,Flowering Time,GDDAnthesis.SilkingInterval,GRoot,0.000247937500074791,1.97030688184509,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GRoot,1.2614354005791e-12,0.00299193192677723,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,other,Spikelets.MainSpike,GRoot,0.0012441155016798,-0.490947036817992,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,Flowering Time,AnthesistoSilkInterval,GRoot,0.00967749225074455,0.128334151191525,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG001,Zm00001d007725,Leaf Morphology,LeafWidth,GRoot,0.000166962405816262,-1.21887954544774,8,Zm00001d007725,2,238219444,238221798,Ankyrin repeat family protein,,integral component of membrane;membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators];A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]
AC148152.3_FG005,Zm00001d007718,Female Inflorescence,EarLength,L3Base,0.000408409420661782,-1.89679968992331,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Base,0.0009393742035535,0.00205312227575987,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Leaf Morphology,LeafWidth,L3Tip,4.59632332194815e-14,1.9047023137134,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,other,GerminationCount,L3Base,0.0246047999764105,-0.143265866507484,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Metabolite,X.5321515..stigmasterol..28.442,L3Tip,2.02237848867526e-06,9.0080377148939e-05,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,other,Spikelets.MainSpike,L3Base,0.0016571325169612,0.403347314914968,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Metabolite,X.6255..maltose..2..24.915,L3Tip,1.43024015025691e-13,0.000447407016448315,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Metabolite,X.6287..L.valine.2..9.151,L3Base,0.000503154411730655,-0.00116098809176042,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Flowering Time,AnthesistoSilkInterval,L3Base,0.0180537790418713,0.114590986742156,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Flowering Time,GDDAnthesis.SilkingInterval,L3Base,0.0062285886099791,1.5862551586712,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
AC148152.3_FG005,Zm00001d007718,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GShoot,0.00053278789408906,-3.83119487123345e-05,40,Zm00001d007718,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.,,;oxidoreductase activity;oxidation-reduction process;metal ion binding,;Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators];A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph];Interacting selectively and non-covalently with any metal ion. [GOC:ai]
